stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
35,0.5,3.0,38.59669219981879,,38.58348849997856,38.59669219981879,39.096767199924216,39.096767199924216,39.096767199924216,39.3968304998707,39.56524319993332,right,3.0,0,0,0.45739879994653165,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
36,0.5,3.5,39.58025119989179,,39.565415299963206,39.58025119989179,40.080100199906155,40.080100199906155,40.080100199906155,40.38049909984693,40.600413099862635,right,3.5,1,1,0.517616500146687,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
37,0.5,3.5,40.61327289999463,,40.60058159986511,40.61327289999463,41.11338909994811,41.11338909994811,41.11338909994811,41.41312129981816,41.563996999990195,right,3.5,1,1,0.44025850016623735,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
38,0.5,3.5,41.57929109991528,,41.564168700017035,41.57929109991528,42.07916869991459,42.07916869991459,42.07916869991459,42.38014099979773,42.64862049999647,right,3.5,1,1,0.5611775999423116,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
39,0.5,3.0,42.66285279998556,,42.64882449992001,42.66285279998556,43.16229349980131,43.16229349980131,43.16229349980131,43.4618375999853,43.71373059996404,left,-3.0,1,1,0.5369551999028772,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
40,0.5,3.0,43.72833069995977,,43.71384799992666,43.72833069995977,44.22872789995745,44.22872789995745,44.22872789995745,44.52935169986449,44.63109279982746,left,-3.0,1,1,0.38671160000376403,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
41,0.5,3.0,44.6467044998426,,44.63124359981157,44.6467044998426,45.14516169996932,45.14516169996932,45.14516169996932,45.445121199823916,45.446953299921006,right,3.0,0,0,0.3002040002029389,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
42,0.5,3.5,45.4613252999261,,45.44706719997339,45.4613252999261,45.96175959985703,45.96175959985703,45.96175959985703,46.262875200016424,46.37961780000478,right,3.5,0,0,0.406115299789235,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
43,0.5,4.0,46.39456059993245,,46.37971489992924,46.39456059993245,46.87875359994359,46.87875359994359,46.894797399872914,47.17814269987866,47.57946419995278,right,4.0,1,1,0.6863812999799848,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
44,0.5,4.0,47.59434589999728,,47.57957619987428,47.59434589999728,48.07866719993763,48.07866719993763,48.09501689998433,48.37864120001905,48.52919759997167,right,4.0,1,1,0.44034089986234903,212331,001,2024-09-10_16h50.04.560,adpative_staircase,2024.1.5,None,2024-09-10 16h50.09.711597 +0530,
